valor_pago;populacao;variacao_anual;aceleracao_variacao_anual;ideb_5ano;ideb_9ano;idhm;pct_desp_recp_saude_mun;desp_tot_saude_pc_mun;desp_recp_saude_pc_mun;desp_tot_saude_pc_mun_def;desp_recp_saude_pc_mun_def;SMA(12)_pago;SMA(6)_pago;SMA(3)_pago;SMA(2)_pago;lag(12)_pago;lag(6)_pago;lag(4)_pago;lag(3)_pago;lag(2)_pago;lag(1)_pago;ano_mes_ordinal
297340.29;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;734869
556608.68;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;0.0;0.0;426974.485;0.0;0.0;0.0;0.0;0.0;297340.29;734900
637551.2;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;0.0;497166.7233333333;597079.94;0.0;0.0;0.0;0.0;297340.29;556608.68;734928
732833.15;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;0.0;642331.01;685192.175;0.0;0.0;0.0;297340.29;556608.68;637551.2;734959
800601.05;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;0.0;723661.8000000002;766717.1000000001;0.0;0.0;297340.29;556608.68;637551.2;732833.15;734989
814210.71;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;639857.5133333333;782548.3033333333;807405.8800000001;0.0;0.0;556608.68;637551.2;732833.15;800601.05;735020
1023816.29;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;760936.8466666667;879542.6833333335;919013.5;0.0;297340.29;637551.2;732833.15;800601.05;814210.71;735050
995364.47;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;834062.8116666666;944463.8233333332;1009590.3800000001;0.0;556608.68;732833.15;800601.05;814210.71;1023816.29;735081
771440.98;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;856377.775;930207.2466666667;883402.7250000001;0.0;637551.2;800601.05;814210.71;1023816.29;995364.47;735112
803136.3;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;868094.9666666667;856647.25;787288.6400000001;0.0;732833.15;814210.71;1023816.29;995364.47;771440.98;735142
545037.25;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;0.0;825501.0;706538.1766666668;674086.7750000001;0.0;800601.05;1023816.29;995364.47;771440.98;803136.3;735173
297124.09;60612;1482;1146;4.1;2.8;0.679;16.56;464.3;114.1;744.7674653;183.0238376;689588.705;739319.8966666666;548432.5466666667;421080.67000000004;0.0;814210.71;995364.47;771440.98;803136.3;545037.25;735203
