ano_mes_ordinal;valor_receita;SMA(12);SMA(6);SMA(3);SMA(2);lag(12);lag(6);lag(4);lag(3);lag(2);lag(1);populacao;variacao_anual;aceleracao_variacao_anual;valor_pib
734869;5865563.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60612;1482;1146;770339.0
734900;6979863.94;0.0;0.0;0.0;6422713.52;0.0;0.0;0.0;0.0;0.0;5865563.1;60612;1482;1146;770339.0
734928;6038308.84;0.0;0.0;6294578.626666666;6509086.390000001;0.0;0.0;0.0;0.0;5865563.1;6979863.94;60612;1482;1146;770339.0
734959;6036720.77;0.0;0.0;6351631.183333334;6037514.805;0.0;0.0;0.0;5865563.1;6979863.94;6038308.84;60612;1482;1146;770339.0
734989;6566028.25;0.0;0.0;6213685.953333333;6301374.51;0.0;0.0;5865563.1;6979863.94;6038308.84;6036720.77;60612;1482;1146;770339.0
735020;7180872.109999999;0.0;6444559.501666666;6594540.376666666;6873450.18;0.0;0.0;6979863.94;6038308.84;6036720.77;6566028.25;60612;1482;1146;770339.0
735050;6784352.82;0.0;6597691.121666666;6843751.06;6982612.465;0.0;5865563.1;6038308.84;6036720.77;6566028.25;7180872.109999999;60612;1482;1146;770339.0
735081;8316345.74;0.0;6820438.088333334;7427190.223333333;7550349.28;0.0;6979863.94;6036720.77;6566028.25;7180872.109999999;6784352.82;60612;1482;1146;770339.0
735112;7980163.57;0.0;7144080.543333333;7693620.71;8148254.655;0.0;6038308.84;6566028.25;7180872.109999999;6784352.82;8316345.74;60612;1482;1146;770339.0
735142;7058840.99;0.0;7314433.913333334;7785116.766666667;7519502.28;0.0;6036720.77;7180872.109999999;6784352.82;8316345.74;7980163.57;60612;1482;1146;770339.0
735173;8149080.25;0.0;7578275.913333334;7729361.603333334;7603960.62;0.0;6566028.25;6784352.82;8316345.74;7980163.57;7058840.99;60612;1482;1146;770339.0
735203;8473646.870000001;7119148.9375;7793738.373333334;7893856.036666668;8311363.5600000005;0.0;7180872.109999999;8316345.74;7980163.57;7058840.99;8149080.25;60612;1482;1146;770339.0
735234;7861439.06;7285471.934166667;7973252.746666667;8161388.726666667;8167542.965;5865563.1;6784352.82;7980163.57;7058840.99;8149080.25;8473646.870000001;61030;418;-1064;904648000.0
735234;7861439.06;7358936.5275;7897434.966666666;8065508.330000001;7861439.06;6979863.94;8316345.74;7058840.99;8149080.25;8473646.870000001;7861439.06;61030;418;-1064;904648.16
735265;8228264.74;7541432.8525;7938785.161666666;7983714.286666666;8044851.9;6038308.84;7980163.57;8149080.25;8473646.870000001;7861439.06;7861439.06;61030;418;-1064;904648000.0
735265;8228264.74;7724061.516666666;8133689.12;8105989.513333333;8228264.74;6036720.77;7058840.99;8473646.870000001;7861439.06;7861439.06;8228264.74;61030;418;-1064;904648.16
735293;6835740.62;7746537.547499999;7914799.181666666;7764090.033333334;7532002.68;6566028.25;8149080.25;7861439.06;7861439.06;8228264.74;8228264.74;61030;418;-1064;904648000.0
735293;6835740.62;7717776.59;7641814.806666668;7299915.326666667;6835740.62;7180872.109999999;8473646.870000001;7861439.06;8228264.74;8228264.74;6835740.62;61030;418;-1064;904648.16
735324;8223473.05;7837703.275833334;7702153.805;7298318.096666667;7529606.835;6784352.82;7861439.06;8228264.74;8228264.74;6835740.62;6835740.62;61030;418;-1064;904648000.0
735324;8223473.05;7829963.885000001;7762492.803333334;7760895.573333333;8223473.05;8316345.74;7861439.06;8228264.74;6835740.62;6835740.62;8223473.05;61030;418;-1064;904648.16
735354;8270822.01;7854185.421666667;7769585.681666668;8239256.036666666;8247147.529999999;7980163.57;8228264.74;6835740.62;6835740.62;8223473.05;8223473.05;61030;418;-1064;904648000.0
735354;8270822.01;7955183.84;7776678.56;8255039.023333333;8270822.01;7058840.99;8228264.74;6835740.62;8223473.05;8223473.05;8270822.01;61030;418;-1064;904648.16
735385;7600005.14;7909427.580833334;7904055.98;8047216.386666667;7935413.574999999;8149080.25;6835740.62;8223473.05;8223473.05;8270822.01;8270822.01;61030;418;-1064;904648000.0
735385;7600005.14;7836624.103333333;8031433.400000001;7823610.763333333;7600005.14;8473646.870000001;6835740.62;8223473.05;8270822.01;8270822.01;7600005.14;61030;418;-1064;904648.16
735415;7640448.25;7818208.2025;7934262.599999999;7613486.176666667;7620226.695;7861439.06;8223473.05;8270822.01;8270822.01;7600005.14;7600005.14;61030;418;-1064;904648000.0
735415;7640448.25;7799792.301666666;7837091.8;7626967.213333334;7640448.25;7861439.06;8223473.05;8270822.01;7600005.14;7600005.14;7640448.25;61030;418;-1064;904648.16
735446;7406299.96;7731295.236666667;7693004.791666665;7562398.82;7523374.105;8228264.74;8270822.01;7600005.14;7600005.14;7640448.25;7640448.25;61030;418;-1064;904648000.0
735446;7406299.96;7662798.171666667;7548917.783333332;7484349.390000001;7406299.96;8228264.74;8270822.01;7600005.14;7640448.25;7640448.25;7406299.96;61030;418;-1064;904648.16
735477;7614179.34;7727668.065;7551280.149999999;7475593.086666666;7510239.65;6835740.62;7600005.14;7640448.25;7640448.25;7406299.96;7406299.96;61030;418;-1064;904648000.0
735477;7614179.34;7792537.958333333;7553642.516666667;7544886.213333334;7614179.34;6835740.62;7600005.14;7640448.25;7406299.96;7406299.96;7614179.34;61030;418;-1064;904648.16
735507;6912108.31;7683257.563333333;7432252.526666666;7380155.663333333;7263143.824999999;8223473.05;7640448.25;7406299.96;7406299.96;7614179.34;7614179.34;61030;418;-1064;904648000.0
735507;6912108.31;7573977.168333333;7310862.536666666;7146131.986666667;6912108.31;8223473.05;7640448.25;7406299.96;7614179.34;7614179.34;6912108.31;61030;418;-1064;904648.16
735538;8314251.69;7577596.308333333;7462187.825;7379489.4366666665;7613180.0;8270822.01;7406299.96;7614179.34;7614179.34;6912108.31;6912108.31;61030;418;-1064;904648000.0
735538;8314251.69;7581215.448333334;7613513.113333333;7846870.5633333335;8314251.69;8270822.01;7406299.96;7614179.34;6912108.31;6912108.31;8314251.69;61030;418;-1064;904648.16
735568;8713804.17;7674032.034166667;7796783.918333333;8447435.85;8514027.93;7600005.14;7614179.34;6912108.31;6912108.31;8314251.69;8314251.69;61030;418;-1064;904648000.0
735568;8713804.17;7766848.62;7980054.723333334;8580620.01;8713804.17;7600005.14;7614179.34;6912108.31;8314251.69;8314251.69;8713804.17;61030;418;-1064;904648.16
735599;9246284.47;7900668.305;8369084.083333333;8891297.603333334;8980044.32;7640448.25;6912108.31;8314251.69;8314251.69;8713804.17;8713804.17;61431;401;-17;949025.26
735630;8115312.71;7940240.343333334;8569618.15;8691800.450000001;8680798.590000002;7640448.25;6912108.31;8314251.69;8713804.17;8713804.17;9246284.47;61431;401;-17;949025.26
735658;6907321.38;7898658.794999999;8335129.765000001;8089639.52;7511317.045000001;7406299.96;8314251.69;8713804.17;8713804.17;9246284.47;8115312.71;61431;401;-17;949025.26
735689;9461848.1;8069954.473333334;8526395.833333334;8161494.063333333;8184584.74;7406299.96;8314251.69;8713804.17;9246284.47;8115312.71;6907321.38;61431;401;-17;949025.26
735719;8297725.72;8126916.671666667;8457049.424999999;8222298.399999999;8879786.910000002;7614179.34;8713804.17;9246284.47;8115312.71;6907321.38;9461848.1;61431;401;-17;949025.26
735750;8257532.36;8180529.423333333;8381004.123333332;8672368.726666667;8277629.040000001;7614179.34;8713804.17;8115312.71;6907321.38;9461848.1;8297725.72;61431;401;-17;949025.26
735780;7452571.07;8225567.986666667;8082051.890000001;8002609.716666666;7855051.715000002;6912108.31;9246284.47;6907321.38;9461848.1;8297725.72;8257532.36;61431;401;-17;949025.26
735811;7458056.53;8271063.671666667;7972509.193333332;7722719.986666667;7455313.800000001;6912108.31;8115312.71;9461848.1;8297725.72;8257532.36;7452571.07;61431;401;-17;949025.26
735842;6738530.0;8139753.530833334;7944377.296666667;7216385.866666667;7098293.265000001;8314251.69;6907321.38;8297725.72;8257532.36;7452571.07;7458056.53;61431;401;-17;949025.26
735872;7890822.399999999;8104467.756666667;7682539.68;7362469.643333334;7314676.200000001;8314251.69;9461848.1;8257532.36;7452571.07;7458056.53;6738530.0;61431;401;-17;949025.26
735903;6809970.39;7945814.941666666;7434580.458333333;7146440.93;7350396.3950000005;8713804.17;8297725.72;7452571.07;7458056.53;6738530.0;7890822.399999999;61431;401;-17;949025.26
735933;9287068.98;7993587.009166668;7606169.8950000005;7995953.923333333;8048519.6850000005;8713804.17;8257532.36;7458056.53;6738530.0;7890822.399999999;6809970.39;61431;401;-17;949025.26
735964;9382016.19;8004897.985833335;7927744.081666666;8493018.520000001;9334542.585;9246284.47;7452571.07;6738530.0;7890822.399999999;6809970.39;9287068.98;61816;385;-16;1039264000.0
735964;9382016.19;8110456.609166667;8248404.025000001;9350367.12;9382016.19;8115312.71;7458056.53;7890822.399999999;6809970.39;9287068.98;9382016.19;61816;385;-16;1039264.14
735995;7806606.78;8185397.059166667;8426416.821666667;8856879.72;8594311.485;6907321.38;6738530.0;6809970.39;9287068.98;9382016.19;9382016.19;61816;385;-16;1039264000.0
